GEOID,ALAND,AWATER,NAME,State,County,B19049_001E,B19049_001M,B19049_002E,B19049_002M,B19049_003E,B19049_003M,B19049_004E,B19049_004M,B19049_005E,B19049_005M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19053_001E,B19053_001M,B19053_002E,B19053_002M,B19053_003E,B19053_003M,B19053_calc_pctSelfempE,B19053_calc_pctSelfempM,Shape__Area,Shape__Length,Update_Field
42003477300,3552186.0,0.0,Census Tract 4773,Pennsylvania,Allegheny County,65608.0,30813.0,26496.0,690.0,102528.0,68189.0,91957.0,24147.0,44787.0,27498.0,37734.0,25778.0,,,,,,,,,,,89351.0,16288.0,,,2894,261.0,107,88.0,2787,284.0,3.7,3.0224360202012246,6123925.78515625,13787.565565492572,Yes
42003478100,1514346.0,0.0,Census Tract 4781,Pennsylvania,Allegheny County,54446.0,18525.0,153444.0,107083.0,78350.0,62543.0,68036.0,50903.0,25000.0,11627.0,,,,,,,,,,,158366.0,16197.0,53177.0,25641.0,,,1921,245.0,130,78.0,1791,238.0,6.8,3.967594798002213,2611968.140625,7762.881695729185,Yes
42003478200,2237593.0,0.0,Census Tract 4782,Pennsylvania,Allegheny County,65759.0,17782.0,,,85412.0,16224.0,75643.0,60065.0,46544.0,17333.0,,,,,,,,,,,,,70063.0,17428.0,,,2557,337.0,38,44.0,2519,332.0,1.5,1.7095833342006086,3859507.109375,11434.274984202535,Yes
42003479000,1307994.0,0.0,Census Tract 4790,Pennsylvania,Allegheny County,83393.0,15472.0,,,112887.0,3923.0,98500.0,35735.0,46667.0,14268.0,,,,,,,,,,,85750.0,84814.0,82857.0,17736.0,,,843,102.0,67,35.0,776,103.0,7.9,4.038933244323078,2256521.50390625,11861.074310769849,Yes
42003480101,2289294.0,0.0,Census Tract 4801.01,Pennsylvania,Allegheny County,53088.0,5294.0,,,54786.0,21370.0,110647.0,32597.0,33704.0,3276.0,102969.0,94291.0,,,26170.0,11579.0,,,,,,,54798.0,9722.0,,,2376,254.0,130,84.0,2246,249.0,5.5,3.486633412501977,3944913.12890625,10956.609833222723,Yes
42003480102,1693850.0,0.0,Census Tract 4801.02,Pennsylvania,Allegheny County,94375.0,22084.0,,,122333.0,5098.0,95938.0,36434.0,58036.0,13997.0,,,,,123237.0,16862.0,,,,,,,91250.0,23899.0,,,1218,96.0,79,42.0,1139,102.0,6.5,3.410170883236391,2919116.62109375,9695.5425796496,Yes
42003480200,3100501.0,0.0,Census Tract 4802,Pennsylvania,Allegheny County,80417.0,10289.0,,,142833.0,38650.0,72361.0,25635.0,61667.0,17190.0,,,,,,,,,,,98036.0,52493.0,81837.0,11388.0,,,1506,211.0,169,94.0,1337,232.0,11.2,6.040436602204326,5345248.8359375,14515.504864031274,Yes
42003480300,2840625.0,275717.0,Census Tract 4803,Pennsylvania,Allegheny County,81875.0,10837.0,,,94750.0,42095.0,122065.0,34621.0,46734.0,9826.0,,,,,,,,,,,131458.0,61973.0,80246.0,24435.0,,,1579,168.0,119,55.0,1460,180.0,7.5,3.389666978927892,4902907.203125,22224.416480136788,Yes
42003480400,5019302.0,0.0,Census Tract 4804,Pennsylvania,Allegheny County,102143.0,23694.0,,,130050.0,7878.0,91534.0,34212.0,67500.0,25764.0,,,,,,,,,,,,,100000.0,25812.0,,,2256,240.0,122,85.0,2134,230.0,5.4,3.7235500907557157,8659252.7734375,14285.61243435448,Yes
42003481000,879248.0,0.0,Census Tract 4810,Pennsylvania,Allegheny County,50379.0,12354.0,,,55878.0,5630.0,37275.0,33703.0,44028.0,17965.0,45032.0,36333.0,,,,,,,,,,,51477.0,14782.0,,,1304,195.0,110,88.0,1194,212.0,8.4,6.629519254068141,1518261.11328125,5448.614829701404,Yes
42003482500,2387455.0,236627.0,Census Tract 4825,Pennsylvania,Allegheny County,81477.0,19638.0,,,123456.0,48029.0,67500.0,34377.0,70208.0,19835.0,38077.0,35895.0,,,,,,,,,108176.0,25351.0,88309.0,15995.0,108649.0,25718.0,845,108.0,29,26.0,816,110.0,3.4,3.045496754354266,4120860.7265625,14806.609234060952,Yes
42003483800,1492076.0,167950.0,Census Tract 4838,Pennsylvania,Allegheny County,38661.0,6636.0,,,53382.0,38384.0,45682.0,29722.0,28750.0,15973.0,38628.0,14490.0,,,,,,,,,,,38311.0,18550.0,,,1437,251.0,55,50.0,1382,256.0,3.8,3.4146424196459977,2576116.09375,8923.70491308018,Yes
